Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Event	logFC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	3661101	3662300	1200	194.67;205.26;187.67	158.49;165.24;139.34	Up	0.34	0.0506529370194282	0.943744194993556	3661101	3662100	0.43	7.1757163436973e-08	6.48916636513657e-06
chr1	4797201	4798600	1400	133.77;223.78;209.83	139.85;145.14;129.46	Up	0.45	4.60095950285877e-05	0.00138289216755736	4797201	4798200	0.54	6.86688236950323e-06	0.000208954474273694
chr1	4847501	4848500	1000	126.16;118.83;130.33	133.19;140.68;152.83	Down	-0.19	9.83688014254452e-05	0.00218354939337218	4847501	4848500	-0.19	9.83688014254452e-05	0.00171597402895214
chr1	9788201	9789300	1100	100.05;97.23;160.30	68.59;89.32;80.01	Up	0.59	0.000208692412633633	0.00443717779592393	9788201	9789200	0.63	5.18836965320691e-05	0.00105390826040473
chr1	13362201	13364700	2500	380.64;609.59;487.43	332.30;311.87;348.81	Up	0.57	1.90605526065056e-06	0.000140926754119281	13362401	13363400	0.62	6.89827123934662e-07	3.19977379783866e-05
chr1	13578601	13580300	1700	165.31;185.19;174.64	124.53;136.96;123.16	Up	0.45	3.95579863803042e-07	4.77671335247649e-05	13579301	13580300	0.53	3.66556593285585e-08	4.1823804354552e-06
chr1	17086901	17087900	1000	190.32;216.06;198.10	165.15;168.22;157.32	Up	0.30	1.59042787431206e-08	5.35547493481763e-06	17086901	17087900	0.30	1.59042787431206e-08	2.59384896781649e-06
chr1	23262701	23264200	1500	179.44;186.74;213.74	161.16;183.11;172.61	Up	0.17	0.453990585155396	1	23263101	23264100	0.30	3.4813049646954e-06	0.000118869488069047
chr1	23386301	23387900	1600	18.49;10.80;11.73	39.29;37.96;32.36	Down	-1.42	6.09549638960476e-07	6.62633253188057e-05	23386401	23387400	-1.78	1.45913498764068e-07	1.10101589047859e-05
chr1	23928201	23929700	1500	182.71;208.34;181.16	164.49;189.06;182.50	Up	0.09	0.791913120318151	1	23928301	23929300	0.15	1.06783232882227e-07	8.5974975313262e-06
chr1	24106201	24107500	1300	253.40;254.64;220.25	189.13;206.18;198.68	Up	0.29	0.0157288107994383	0.297876490942448	24106501	24107500	0.39	2.08944707767068e-09	1.19681149914126e-06
chr1	25284601	25286500	1900	32.63;24.69;37.80	61.27;72.94;60.23	Down	-1.03	3.26431724249209e-06	0.000208644277082619	25285001	25286000	-1.32	2.03129274467304e-06	7.53793711838299e-05
chr1	25883601	25886200	2600	42.41;24.69;31.28	74.59;83.36;80.01	Down	-1.27	3.36833297319139e-10	7.75053417131339e-07	25884101	25885100	-1.49	2.24883909405085e-07	1.52193492806206e-05
chr1	31005501	31006600	1100	138.12;160.50;145.97	115.87;126.54;124.96	Up	0.28	7.26580155039776e-06	0.000366112487912157	31005501	31006500	0.28	3.00053469274846e-05	0.000692074535633671
chr1	33964201	33965200	1000	178.36;192.91;186.37	148.50;160.78;159.12	Up	0.25	1.55621094653558e-06	0.000127130463478522	33964201	33965200	0.25	1.55621094653558e-06	6.12691492239644e-05
chr1	34063301	34064300	1000	19.58;9.26;18.25	35.96;44.66;34.16	Down	-1.29	3.27325784142017e-05	0.00109535432648758	34063301	34064300	-1.29	3.27325784142017e-05	0.000736803224325764
